date,test number,experiment,age,clutch,start time,Position Entered,HT (min w/out sec),HT (sec),Hatching Time (min),Hatching direction
20150705,1,trial,4d,89,2:05pm,,10,41,10.68,light
20150705,2,trial,4d,89,2:20pm,,8,21,8.35,light
20150705,3,trial,4d,90,2:33pm,,8,36,8.60,light
20150705,4,trial,4d,90,2:47pm,,11,51,11.85,light
20150705,5,trial,4d,84,3:05pm,,10,54,10.90,dark
20150705,7,trial,4d,91,3:45pm,,24,48,24.80,dark
20150705,8,trial,4d,91,4:14pm,,19,1,19.02,light
20150705,9,trial,4d,85,4:37pm,,4,32,4.53,light
20150705,10,trial,4d,85,4:45pm,,7,15,7.25,light
20150706,11,trial,4d,95,2:31pm,,9,48,9.80,dark
20150706,12,trial,4d,95,2:47pm,,7,17,7.28,light
20150706,13,trial,4d,96,2:58pm,,10,34,10.57,dark
20150706,14,trial,4d,96,3:13pm,,5,1,5.02,light
20150706,15,trial,4d,97,3:25pm,,3,50,3.83,light
20150706,16,trial,4d,97,3:33pm,,8,20,8.33,light
20150706,17,trial,4d,98,3:46pm,,5,19,5.32,light
20150706,18,trial,4d,98,3:56pm,,5,11,5.18,light
20150706,19,trial,4d,99,4:13pm,,6,36,6.60,dark
20150710,21,trial,4d,101,1:58pm,light,8,10,8.17,dark
20150710,22,trial,4d,101,2:10pm,dark,30,27,30.45,dark
20150710,23,trial,4d,102,2:45pm,light,9,11,9.18,light
20150710,24,trial,4d,102,2:58pm,dark,29,41,29.68,light
20150710,25,trial,4d,103,3:33pm,light,13,9,13.15,dark
20150710,26,trial,4d,103,3:50pm,dark,9,28,9.47,dark
20150710,28,trial,4d,105,4:09pm,dark,13,8,13.13,light
20150710,29,trial,4d,106,4:27pm,light,3,4,3.07,light
20150710,30,trial,4d,106,4:34pm,dark,37,40,37.67,light
20150711,31,trial,4d,121,1:50pm,light,11,5,11.08,light
20150711,32,trial,4d,121,2:04pm,dark,15,10,15.17,light
20150711,33,trial,4d,122,2:24pm,light,14,12,14.20,dark
20150711,34,trial,4d,122,2:43pm,dark,9,47,9.78,dark
20150711,36,trial,4d,118,3:02pm,dark,8,4,8.07,dark
20150711,37,trial,4d,119,3:15pm,light,12,55,12.92,light
20150711,38,trial,4d,119,3:31pm,dark,7,31,7.52,light
20150711,39,trial,4d,120,3:44pm,light,17,39,17.65,dark
20150711,40,trial,4d,120,4:05pm,dark,17,2,17.03,light
20150712,41,trial,4d,132,2:10pm,light,11,4,11.07,light
20150712,43,trial,4d,133,2:31pm,light,5,49,5.82,light
20150712,44,trial,4d,133,2:40pm,dark,9,12,9.20,light
20150712,45,trial,4d,134,3:00pm,light,29,4,29.07,light
20150712,46,trial,4d,134,3:37pm,dark,38,52,38.87,dark
20150712,47,trial,4d,136,4:20pm,light,21,4,21.07,dark
20150712,48,trial,4d,136,4:45pm,dark,5,48,5.80,light
20150712,49,trial,4d,135,4:55pm,light,19,45,19.75,light
20150712,50,trial,4d,135,5:19pm,dark,3,48,3.80,light
20150715,51,trial,4d,157,3:05pm,light,32,56,32.93,light
20150715,52,trial,4d,157,3:05pm,dark,16,5,16.08,light
20150715,53,trial,4d,157,3:05pm,light,10,44,10.73,light
20150715,54,trial,4d,158,3:05pm,dark,41,56,41.93,dark
20150715,55,trial,4d,155,3:56pm,light,47,14,47.23,dark
20150715,56,trial,4d,155,3:56pm,dark,23,18,23.30,light
20150715,57,trial,4d,158,3:56pm,light,54,30,54.50,light
20150715,58,trial,4d,158,3:56pm,dark,63,17,63.28,light
20150715,59,trial,4d,155,5:15pm,light,10,58,10.97,light
20150715,60,trial,4d,156,5:15pm,dark,7,11,7.18,light
20150715,61,trial,4d,156,5:15pm,light,23,50,23.83,light
20150715,62,trial,4d,156,5:15pm,dark,11,57,11.95,dark
20150716,63,trial,4d,166,12:00pm,light,45,20,45.33,light
20150716,64,trial,4d,166,12:00pm,light,6,49,6.82,light
20150716,65,trial,4d,166,12:00pm,dark,32,56,32.93,dark
20150716,66,trial,4d,164,12:00pm,dark,14,20,14.33,light
20150716,67,trial,4d,164,12:55pm,light,3,38,3.63,dark
20150716,68,trial,4d,164,12:55pm,dark,5,40,5.67,light
20150716,69,trial,4d,165,12:55pm,dark,17,44,17.73,light
20150716,70,trial,4d,165,1:25pm,light,15,50,15.83,dark
20150716,71,trial,4d,163,1:25pm,dark,11,47,11.78,light
20150716,72,trial,4d,163,1:25pm,dark,5,26,5.43,light
20150716,73,trial,4d,162,1:48pm,light,21,20,21.33,light
20150716,74,trial,4d,162,1:48pm,dark,19,57,19.95,light
20150716,75,trial,4d,162,1:48pm,light,22,10,22.17,light
20150720,76,trial,4d,175,1:39pm,light,8,1,8.02,light
20150720,77,trial,4d,175,1:39pm,dark,6,51,6.85,light
20150720,78,trial,4d,175,1:39pm,light,7,8,7.13,dark
20150720,79,trial,4d,176,1:39pm,dark,7,55,7.92,dark
20150720,80,trial,4d,176,1:56pm,light,35,28,35.47,dark
20150720,81,trial,4d,176,1:56pm,light,18,16,18.27,dark
20150720,82,trial,4d,177,1:56pm,dark,50,49,50.82,light
20150720,83,trial,4d,177,1:56pm,dark,42,13,42.22,light
20150720,84,trial,4d,177,2:53pm,light,7,50,7.83,dark
20150720,85,trial,4d,178,2:53pm,light,27,43,27.72,light
20150720,86,trial,4d,178,2:53pm,dark,9,40,9.67,light
20150720,87,trial,4d,178,2:53pm,light,4,39,4.65,light
20150720,88,trial,4d,179,3:25pm,light,13,32,13.53,light
20150720,89,trial,4d,179,3:25pm,dark,3,42,3.70,light
20150720,90,trial,4d,179,3:25pm,dark,3,11,3.18,light
20150803,101,control,4d,215,1:49pm,,NA,NA,NA,light
20150803,102,control,4d,215,1:49pm,,NA,NA,NA,dark
20150803,103,control,4d,215,1:49pm,,NA,NA,NA,light
20150803,104,control,4d,215,1:49pm,,NA,NA,NA,dark
20150803,105,control,4d,216,1:49pm,,NA,NA,NA,dark
20150803,106,control,4d,216,1:49pm,,NA,NA,NA,dark
20150803,107,control,4d,216,1:49pm,,NA,NA,NA,light
20150803,108,control,4d,216,1:49pm,,NA,NA,NA,dark
20150803,109,control,4d,217,1:49pm,,NA,NA,NA,light
20150803,110,control,4d,217,1:49pm,,NA,NA,NA,dark
20150803,111,control,4d,217,1:49pm,,NA,NA,NA,dark
20150803,112,control,4d,217,1:49pm,,NA,NA,NA,dark
20150803,113,control,4d,218,1:49pm,,NA,NA,NA,dark
20150803,114,control,4d,218,1:49pm,,NA,NA,NA,light
20150803,115,control,4d,218,1:49pm,,NA,NA,NA,dark
20150803,116,control,4d,218,1:49pm,,NA,NA,NA,light
20150803,117,control,4d,219,1:49pm,,NA,NA,NA,dark
20150803,118,control,4d,219,1:49pm,,NA,NA,NA,light
20150803,119,control,4d,219,1:49pm,,NA,NA,NA,light
20150803,120,control,4d,219,1:49pm,,NA,NA,NA,light